,company,title,Job_Category,location,overall_score,Company_Size,Found_Year,Company_Type,Industry,Sector,salary,Lower_salary,Upper_salary
42,Société Générale,TRAINEE: Data Analyst,Data Analyst,Hong Kong,3.7,10000+ Employees,1864,Company - Public,Investment Banking & Asset Management,Finance,,,
43,Bloomberg,2021 Market Data Analyst (Chinese Speaker) - Hong Kong,Data Analyst,Hong Kong,4.1,10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,,,
44,Cogney,Data Analytics Intern (Paid Internship),Data Analyst,Central,4.0,,,,,,,,
45,All Market Consulting Limited,IT Application Analyst - 35K,Data Analyst,Hong Kong,0.0,Unknown,,Company - Private,,,,,
46,Standard Chartered,Data Governance Analyst - Mox,Data Analyst,Hong Kong,3.8,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,,,
47,Pernod Ricard,Data Analyst,Data Analyst,Hong Kong,4.1,10000+ Employees,1975,Company - Private,Food & Beverage Manufacturing,Manufacturing,,,
48,WonderSmile,Business Analyst (Marketing),Data Analyst,Hong Kong,4.6,51 to 200 Employees,,Unknown,Health Care Services & Hospitals,Health Care,HK$360K - HK$420K,360.0,420.0
49,Axioma,Market Data Services Analyst,Data Analyst,Hong Kong,3.6,501 to 1000 Employees,,Company - Public,,,,,
50,LSEG (London Stock Exchange Group),Research Analyst,Data Analyst,Hong Kong,3.9,10000+ Employees,1698,Company - Public,Stock Exchanges,Finance,,,
51,Sapientia Technologies Limited,"Quantitative Analyst, Junior Level",Data Analyst,Hong Kong,0.0,,,,,,,,
52,NielsenIQ,"Analyst, Customer Success",Data Analyst,Quarry Bay,3.9,10000+ Employees,1923,Company - Private,,,,,
53,Société Générale,INTERN: Data Analytics (Operational Risks),Data Analyst,Hong Kong,3.7,10000+ Employees,1864,Company - Public,Investment Banking & Asset Management,Finance,,,
